Ciclo;CRS;Município;Código do IBGE;Ano;Número da armadilha;Ovos;Link;Latitude;Longitude;Resultado;Semana;Lat_lng
Fevereiro;;Montes Claros;3143302;2024;1;141;Montes Claros_1;-16,66092;-43,85172;Positiva;5;-16.66092,-43.85172
Fevereiro;;Montes Claros;3143302;2024;1;222;Montes Claros_1;-16,66092;-43,85172;Positiva;7;-16.66092,-43.85172
Fevereiro;;Montes Claros;3143302;2024;2;124;Montes Claros_2;-16,66048;-43,84899;Positiva;5;-16.66048,-43.84899
Fevereiro;;Montes Claros;3143302;2024;2;18;Montes Claros_2;-16,66048;-43,84899;Positiva;7;-16.66048,-43.84899
Fevereiro;;Montes Claros;3143302;2024;3;0;Montes Claros_3;-16,66396;-43,85296;Negativa;5;-16.66396,-43.85296
Fevereiro;;Montes Claros;3143302;2024;3;1;Montes Claros_3;-16,66396;-43,85296;Positiva;7;-16.66396,-43.85296
Fevereiro;;Montes Claros;3143302;2024;4;416;Montes Claros_4;-16,66307;-43,84981;Positiva;5;-16.66307,-43.84981
Fevereiro;;Montes Claros;3143302;2024;4;247;Montes Claros_4;-16,66307;-43,84981;Positiva;7;-16.66307,-43.84981
Fevereiro;;Montes Claros;3143302;2024;5;131;Montes Claros_5;-16,66355;-43,84723;Positiva;5;-16.66355,-43.84723
Fevereiro;;Montes Claros;3143302;2024;5;106;Montes Claros_5;-16,66355;-43,84723;Positiva;7;-16.66355,-43.84723
Fevereiro;;Montes Claros;3143302;2024;6;63;Montes Claros_6;-16,66624;-43,85150;Positiva;5;-16.66624,-43.85150
Fevereiro;;Montes Claros;3143302;2024;6;226;Montes Claros_6;-16,66624;-43,85150;Positiva;7;-16.66624,-43.85150
Fevereiro;;Montes Claros;3143302;2024;7;49;Montes Claros_7;-16,67015;-43,85810;Positiva;5;-16.67015,-43.85810
Fevereiro;;Montes Claros;3143302;2024;7;1;Montes Claros_7;-16,67015;-43,85810;Positiva;7;-16.67015,-43.85810
Fevereiro;;Montes Claros;3143302;2024;8;0;Montes Claros_8;-16,66881;-43,85551;Negativa;5;-16.66881,-43.85551
Fevereiro;;Montes Claros;3143302;2024;8;2;Montes Claros_8;-16,66881;-43,85551;Positiva;7;-16.66881,-43.85551
Fevereiro;;Montes Claros;3143302;2024;9;12;Montes Claros_9;-16,66959;-43,85271;Positiva;5;-16.66959,-43.85271
Fevereiro;;Montes Claros;3143302;2024;9;58;Montes Claros_9;-16,66959;-43,85271;Positiva;7;-16.66959,-43.85271
Fevereiro;;Montes Claros;3143302;2024;10;66;Montes Claros_10;-16,66951;-43,84057;Positiva;5;-16.66951,-43.84057
Fevereiro;;Montes Claros;3143302;2024;10;24;Montes Claros_10;-16,66951;-43,84057;Positiva;7;-16.66951,-43.84057
Fevereiro;;Montes Claros;3143302;2024;11;29;Montes Claros_11;-16,66933;-43,82818;Positiva;5;-16.66933,-43.82818
Fevereiro;;Montes Claros;3143302;2024;11;40;Montes Claros_11;-16,66933;-43,82818;Positiva;7;-16.66933,-43.82818
Fevereiro;;Montes Claros;3143302;2024;12;255;Montes Claros_12;-16,67140;-43,85490;Positiva;5;-16.67140,-43.85490
Fevereiro;;Montes Claros;3143302;2024;12;191;Montes Claros_12;-16,67140;-43,85490;Positiva;7;-16.67140,-43.85490
Fevereiro;;Montes Claros;3143302;2024;13;175;Montes Claros_13;-16,67157;-43,85081;Positiva;5;-16.67157,-43.85081
Fevereiro;;Montes Claros;3143302;2024;13;52;Montes Claros_13;-16,67157;-43,85081;Positiva;7;-16.67157,-43.85081
