Ciclo;CRS;Município;Código do IBGE;Ano;Número da armadilha;Ovos;Link;Latitude;Longitude;Resultado;Semana;Lat_lng
Março;;Montes Claros;3143302;2024;1;280;Montes Claros_1;-16,66092;-43,85172;Positiva;9;-16.66092,-43.85172
Março;;Montes Claros;3143302;2024;1;821;Montes Claros_1;-16,66092;-43,85172;Positiva;11;-16.66092,-43.85172
Março;;Montes Claros;3143302;2024;1;132;Montes Claros_1;-16,66092;-43,85172;Positiva;13;-16.66092,-43.85172
Março;;Montes Claros;3143302;2024;2;45;Montes Claros_2;-16,66048;-43,84899;Positiva;9;-16.66048,-43.84899
Março;;Montes Claros;3143302;2024;2;3;Montes Claros_2;-16,66048;-43,84899;Positiva;11;-16.66048,-43.84899
Março;;Montes Claros;3143302;2024;2;0;Montes Claros_2;-16,66048;-43,84899;Negativa;13;-16.66048,-43.84899
Março;;Montes Claros;3143302;2024;3;99;Montes Claros_3;-16,66396;-43,85296;Positiva;9;-16.66396,-43.85296
Março;;Montes Claros;3143302;2024;3;36;Montes Claros_3;-16,66396;-43,85296;Positiva;11;-16.66396,-43.85296
Março;;Montes Claros;3143302;2024;3;3;Montes Claros_3;-16,66396;-43,85296;Positiva;13;-16.66396,-43.85296
Março;;Montes Claros;3143302;2024;4;0;Montes Claros_4;-16,66307;-43,84981;Negativa;9;-16.66307,-43.84981
Março;;Montes Claros;3143302;2024;4;300;Montes Claros_4;-16,66307;-43,84981;Positiva;11;-16.66307,-43.84981
Março;;Montes Claros;3143302;2024;4;34;Montes Claros_4;-16,66307;-43,84981;Positiva;13;-16.66307,-43.84981
Março;;Montes Claros;3143302;2024;5;435;Montes Claros_5;-16,66355;-43,84723;Positiva;9;-16.66355,-43.84723
Março;;Montes Claros;3143302;2024;5;185;Montes Claros_5;-16,66355;-43,84723;Positiva;11;-16.66355,-43.84723
Março;;Montes Claros;3143302;2024;5;3;Montes Claros_5;-16,66355;-43,84723;Positiva;13;-16.66355,-43.84723
Março;;Montes Claros;3143302;2024;6;226;Montes Claros_6;-16,66624;-43,85150;Positiva;9;-16.66624,-43.85150
Março;;Montes Claros;3143302;2024;6;141;Montes Claros_6;-16,66624;-43,85150;Positiva;11;-16.66624,-43.85150
Março;;Montes Claros;3143302;2024;6;79;Montes Claros_6;-16,66624;-43,85150;Positiva;13;-16.66624,-43.85150
Março;;Montes Claros;3143302;2024;7;7;Montes Claros_7;-16,67015;-43,85810;Positiva;9;-16.67015,-43.85810
Março;;Montes Claros;3143302;2024;7;5;Montes Claros_7;-16,67015;-43,85810;Positiva;11;-16.67015,-43.85810
Março;;Montes Claros;3143302;2024;7;0;Montes Claros_7;-16,67015;-43,85810;Negativa;13;-16.67015,-43.85810
Março;;Montes Claros;3143302;2024;8;46;Montes Claros_8;-16,66881;-43,85551;Positiva;9;-16.66881,-43.85551
Março;;Montes Claros;3143302;2024;8;2;Montes Claros_8;-16,66881;-43,85551;Positiva;11;-16.66881,-43.85551
Março;;Montes Claros;3143302;2024;8;38;Montes Claros_8;-16,66881;-43,85551;Positiva;13;-16.66881,-43.85551
Março;;Montes Claros;3143302;2024;9;0;Montes Claros_9;-16,66959;-43,85271;Negativa;9;-16.66959,-43.85271
Março;;Montes Claros;3143302;2024;9;71;Montes Claros_9;-16,66959;-43,85271;Positiva;11;-16.66959,-43.85271
Março;;Montes Claros;3143302;2024;9;62;Montes Claros_9;-16,66959;-43,85271;Positiva;13;-16.66959,-43.85271
Março;;Montes Claros;3143302;2024;10;209;Montes Claros_10;-16,66951;-43,84057;Positiva;9;-16.66951,-43.84057
Março;;Montes Claros;3143302;2024;10;76;Montes Claros_10;-16,66951;-43,84057;Positiva;11;-16.66951,-43.84057
Março;;Montes Claros;3143302;2024;10;17;Montes Claros_10;-16,66951;-43,84057;Positiva;13;-16.66951,-43.84057
Março;;Montes Claros;3143302;2024;11;267;Montes Claros_11;-16,66933;-43,82818;Positiva;9;-16.66933,-43.82818
Março;;Montes Claros;3143302;2024;11;247;Montes Claros_11;-16,66933;-43,82818;Positiva;11;-16.66933,-43.82818
Março;;Montes Claros;3143302;2024;11;112;Montes Claros_11;-16,66933;-43,82818;Positiva;13;-16.66933,-43.82818
Março;;Montes Claros;3143302;2024;12;63;Montes Claros_12;-16,67140;-43,85490;Positiva;9;-16.67140,-43.85490
Março;;Montes Claros;3143302;2024;12;70;Montes Claros_12;-16,67140;-43,85490;Positiva;11;-16.67140,-43.85490
Março;;Montes Claros;3143302;2024;12;207;Montes Claros_12;-16,67140;-43,85490;Positiva;13;-16.67140,-43.85490
Março;;Montes Claros;3143302;2024;13;0;Montes Claros_13;-16,67157;-43,85081;Negativa;9;-16.67157,-43.85081
Março;;Montes Claros;3143302;2024;13;36;Montes Claros_13;-16,67157;-43,85081;Positiva;11;-16.67157,-43.85081
Março;;Montes Claros;3143302;2024;13;0;Montes Claros_13;-16,67157;-43,85081;Negativa;13;-16.67157,-43.85081
Março;;Montes Claros;3143302;2024;14;84;Montes Claros_14;-16,67248;-43,83978;Positiva;9;-16.67248,-43.83978
Março;;Montes Claros;3143302;2024;14;61;Montes Claros_14;-16,67248;-43,83978;Positiva;11;-16.67248,-43.83978
Março;;Montes Claros;3143302;2024;14;35;Montes Claros_14;-16,67248;-43,83978;Positiva;13;-16.67248,-43.83978
Março;;Montes Claros;3143302;2024;15;21;Montes Claros_15;-16,67233;-43,82908;Positiva;9;-16.67233,-43.82908
Março;;Montes Claros;3143302;2024;15;46;Montes Claros_15;-16,67233;-43,82908;Positiva;11;-16.67233,-43.82908
Março;;Montes Claros;3143302;2024;15;0;Montes Claros_15;-16,67233;-43,82908;Negativa;13;-16.67233,-43.82908
Março;;Montes Claros;3143302;2024;16;165;Montes Claros_16;-16,67214;-43,82517;Positiva;9;-16.67214,-43.82517
Março;;Montes Claros;3143302;2024;16;0;Montes Claros_16;-16,67214;-43,82517;Negativa;11;-16.67214,-43.82517
Março;;Montes Claros;3143302;2024;16;1;Montes Claros_16;-16,67214;-43,82517;Positiva;13;-16.67214,-43.82517
Março;;Montes Claros;3143302;2024;17;219;Montes Claros_17;-16,67301;-43,82240;Positiva;9;-16.67301,-43.82240
Março;;Montes Claros;3143302;2024;17;86;Montes Claros_17;-16,67301;-43,82240;Positiva;11;-16.67301,-43.82240
Março;;Montes Claros;3143302;2024;17;134;Montes Claros_17;-16,67301;-43,82240;Positiva;13;-16.67301,-43.82240
Março;;Montes Claros;3143302;2024;18;204;Montes Claros_18;-16,67595;-43,87563;Positiva;9;-16.67595,-43.87563
Março;;Montes Claros;3143302;2024;18;0;Montes Claros_18;-16,67595;-43,87563;Negativa;11;-16.67595,-43.87563
Março;;Montes Claros;3143302;2024;18;42;Montes Claros_18;-16,67595;-43,87563;Positiva;13;-16.67595,-43.87563
Março;;Montes Claros;3143302;2024;19;3;Montes Claros_19;-16,67468;-43,87304;Positiva;9;-16.67468,-43.87304
Março;;Montes Claros;3143302;2024;19;0;Montes Claros_19;-16,67468;-43,87304;Negativa;11;-16.67468,-43.87304
Março;;Montes Claros;3143302;2024;19;0;Montes Claros_19;-16,67468;-43,87304;Negativa;13;-16.67468,-43.87304
